version,code,description,release_date
"",CHRG,Standard Charge,
"",ACADR,adverse drug reaction access,
"",PRENC,pre-admission,
"",HEALTHREC,health record,
"",CPHC,certified public health and general preventive medicine care,
"",LABCAT,lab test category,
"",WEEK,week,
"",IMMUCAT,immunization category,
"",CCGC,certified clinical genetics (M.D.) care,
"",_ActAdministrativeDetectedIssueManagementCode,ActAdministrativeDetectedIssueManagementCode,
"",SCHOOL2,School Interaction,
"",CBGC,certified clinical biochemical genetics care,
"",ROIPS,partially specified ROI,
"",_ActInvoiceGroupCode,ActInvoiceGroupCode,
"",10,Provided Patient Education,
"",CPINV,clinical product invoice,
"",_ActInvoiceRootGroupCode,ActInvoiceRootGroupCode,
"",15,Replacement,
"",_AuthorizationIssueManagementCode,Authorization Issue Management Code,
"",ALLGCAT,allergy category,
"",ACUTE,inpatient acute,
"",L,Left Equipment,
"",GENRL,General,
"",CFPC,certified family practice care,
"",_ActEncounterCode,ActEncounterCode,
"",1,Therapy Appropriate,
"",CHLDCARE,Day care - Child care Interaction,
"",18,Leave of Absence,
"",COPAYMENT,patient co-pay,
"",CSIC,certified sickle cell care,
"",CNSC,certified neurological surgery care,
"",CPAD,certified parkinsons disease care,
"",ACPROV,provider information access,
"",FLD,field,
"",ICOL,information collection,
"",WCBPOL,worker's compensation,
"",AUTOPOL,automobile,
"",FST,federal sales tax,
"",CONVEYNC,Common Conveyance Interaction,
"",ACDI,diagnostic imaging access,
"",IND,indigenous peoples health program,
"",IRDSCL,information redisclosure,
"",RESEARCH,research information access,
"",RETRO,retro adjustment,
"",CPND,certified pneumonia disease care,
"",EAP,employee assistance program,
"",PED,Pediatrics,
"",HIRISK,high risk pool program,
"",14,Supply Appropriate,
"",CFWD,carry forward adjusment,
"",CSLD,certified sleep disorders care,
"",CHR,Chronic,
"",DAY,day,
"",_ActCareProvisionCode,act care provision,
"",ACMEN,mental health access,
"",HIVAIDS,HIV-AIDS program,
"",CONTF,contract funding,
"",CHAR,charity program,
"",CACS,certified acute coronary syndrome care,
"",RETIRE,retiree health program,
"",SBFINV,sessional or block fee invoice,
"",CAMC,certified aerospace medicine care,
"",_ActMedicalServiceCode,ActMedicalServiceCode,
"",AUTO,auto-repeat permission,
"",LTC,long term care policy,
"",_ActCredentialedCareProvisionPersonCode,act credentialed care provision peron,
