version,code,description,release_date
"",V42.0,RENE SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.1,CUORE SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.2,VALVOLA CARDIACA SOSTITUITA DA TRAPIANTO,2022-04-04
"",V42.3,PELLE SOSTITUITA DA TRAPIANTO,2022-04-04
"",V42.4,OSSO SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.5,CORNEA SOSTITUITA DA TRAPIANTO,2022-04-04
"",V42.6,POLMONE SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.7,FEGATO SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.81,MIDOLLO OSSEO SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.82,CELLULE STAMINALI PERIFERICHE SOSTITUITE DA TRAPIANTO,2022-04-04
"",V42.83,PANCREAS SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.84,INTESTINO SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.89,ALTRO DI ALTRO ORGANO O TESSUTO SPECIFICATO SOSTITUITO DA TRAPIANTO,2022-04-04
"",V42.9,ORGANO O TESSUTO NON SPECIFICATO SOSTITUITO DA TRAPIANTO,2022-04-04
"",V50.0,TRAPIANTO DI CAPELLI,2022-04-04
"",V58.2,TRASFUSIONE DI SANGUE SENZA INDICAZIONE DELLA DIAGNOSI,2022-04-04
