version,code,description,release_date
"",744.01,ASSENZA DELL'ORECCHIO ESTERNO,2022-04-04
"",744.09,"ALTRO ASSENZA DELL'ORECCHIO, CONGENITA",2022-04-04
"",744.21,"ASSENZA DEL LOBO DELL'ORECCHIO,CONGENITA",2022-04-04
"",755.31,MANCANZA TRASVERSA DELL'ARTO INFERIORE,2022-04-04
"",756.81,ASSENZA DI MUSCOLI E TENDINI,2022-04-04
"",V45.71,ASSENZA ACQUISITA DI ORGANI - MAMMELLA,2022-04-04
"",V45.72,ASSENZA ACQUISITA DI ORGANI - INTESTINO (CRASSO) (TENUE),2022-04-04
"",V45.73,ASSENZA ACQUISITA DI ORGANI - RENE,2022-04-04
"",V45.74,ASSENZA ACQUISITA DI ORGANI - ALTRE PARTI DEL TRATTO URINARIO,2022-04-04
"",V45.75,ASSENZA ACQUISITA DI ORGANI - STOMACO,2022-04-04
"",V45.76,ASSENZA ACQUISITA DI ORGANI - POLMONE,2022-04-04
"",V45.77,ASSENZA ACQUISITA DI ORGANI - ORGANI GENITALI,2022-04-04
"",V45.78,ASSENZA ACQUISITA DI ORGANI - OCCHIO,2022-04-04
"",V45.79,ASSENZA ACQUISITA DI ALTRI ORGANI,2022-04-04
