version,code,description,release_date
"",A,"DISPOSITIVI PER SOMMINISTRAZIONE, PRELIEVO E RACCOLTA",2021-11-10
"",A01,AGHI,2021-11-10
"",A0101,AGHI PER INFUSIONE E PRELIEVO,2021-11-10
"",A010101,AGHI IPODERMICI,2021-11-10
"",A01010101,AGHI IPODERMICI PER SIRINGA,2021-11-10
"",A0101010101,AGHI IPODERMICI PER SIRINGA CON SISTEMA DI SICUREZZA,2021-11-10
"",A0101010102,AGHI IPODERMICI PER SIRINGA SENZA SISTEMA DI SICUREZZA,2021-11-10
"",A01010102,AGHI IPODERMICI PER PENNA,2021-11-10
"",A0101010201,AGHI IPODERMICI PER PENNA CON SISTEMA DI SICUREZZA,2021-11-10
"",A0101010202,AGHI IPODERMICI PER PENNA SENZA SISTEMA DI SICUREZZA,2021-11-10
"",A01010199,AGHI IPODERMICI - ALTRI,2021-11-10
"",A010102,AGHI A FARFALLA,2021-11-10
"",A01010201,AGHI A FARFALLA CON SISTEMA DI SICUREZZA,2021-11-10
"",A01010202,AGHI A FARFALLA SENZA SISTEMA DI SICUREZZA,2021-11-10
"",A010103,AGHI E KIT PER SISTEMI IMPIANTABILI (PORT),2021-11-10
"",A01010301,AGHI E KIT PER SISTEMI IMPIANTABILI (PORT) CON SISTEMA DI SICUREZZA,2021-11-10
"",A01010302,AGHI E KIT PER SISTEMI IMPIANTABILI (PORT) SENZA SISTEMA DI SICUREZZA,2021-11-10
"",A010104,AGHI PER PRELIEVO DA FLACONE,2021-11-10
"",A010105,AGHI PER PRELIEVO SOTTO VUOTO,2021-11-10
"",A01010501,AGHI PER PRELIEVO SOTTO VUOTO CON SISTEMA DI SICUREZZA,2021-11-10
"",A01010502,AGHI PER PRELIEVO SOTTO VUOTO SENZA SISTEMA DI SICUREZZA,2021-11-10
"",A010106,AGHI E KIT PER FILLING RICOSTRUTTIVI,2021-11-10
"",A010180,AGHI PER INFUSIONE E PRELIEVO - ACCESSORI,2021-11-10
"",A01018001,CAMICIE PER AGHI PER PRELIEVI,2021-11-10
"",A01018099,AGHI PER INFUSIONE E PRELIEVO - ACCESSORI ALTRI,2021-11-10
