version,code,description,release_date
"",1,Rosso - EMERGENZA,2022-12-07
"",2,Arancione - URGENZA,2022-12-07
"",3,Azzurro - URGENZA DIFFERIBILE,2022-12-07
"",4,Verde - URGENZA MINORE,2022-12-07
"",5,Bianco - NON URGENZA,2022-12-07
"",B,Bianco - Non critico,2022-12-07
"",G,Giallo - Mediamente critico,2022-12-07
"",N,Nero - Deceduto,2022-12-07
"",R,Rosso - Molto critico,2022-12-07
"",V,Verde - Poco critico,2022-12-07
"",X,"non eseguito (per strutture inferiori a 25.000 accessi in coerenza con Linee Guida ottobre 2001 ""Triage intraospedaliero (valutazione gravit?? all'ingresso) e chirurgia della mano e microchirurgia nel sistema di emergenza urgenza sanitario"". (G.U. n 285 del 7/12/2001)",2022-12-07
