version,code,description,release_date
"",1,dimissione a domicilio,2022-09-09
"",10,Accesso in OBI,2022-09-09
"",11,Trasferimento a struttura Territoriale,2022-09-09
"",2,ricovero in reparto di degenza,2022-09-09
"",3,trasferimento ad altro istituto,2022-09-09
"",4,decesso,2022-09-09
"",5,rifiuta ricovero,2022-09-09
"",6,il paziente abbandona il PS prima della visita medica,2022-09-09
"",7,il paziente abbandona l OBI/PS in corso di accertamenti e/o prima della chiusura della cartella clinica,2022-09-09
"",8,dimissione con rinvio a strutture ambulatoriali,2022-09-09
"",9,trasferimento verso struttura di tipo territoriale,2022-09-09
