version,code,description,release_date
2.0.0,[CFU]/mL,colony forming unit per milliliter,2014-03-26
2.0.0,10*,the number ten for arbitrary powers,2014-03-26
2.0.0,%{FetalErythrocytes},percent FetalErythrocytes,2014-03-26
2.0.0,%{excretion},percent excretion,2014-03-26
2.0.0,10*6/kg,million per kilogram,2014-03-26
2.0.0,%{NormalControl},percent NormalControl,2014-03-26
2.0.0,/g{hgb},per gram hgb,2014-03-26
2.0.0,%{Blockade},percent Blockade,2014-03-26
2.0.0,[Btu_39],British thermal unit at 39 ??F,2014-03-26
2.0.0,%{SpermMotility},percent SpermMotility,2014-03-26
2.0.0,[Amb'a'1'U],Amb a 1 units,2014-03-26
2.0.0,/100{WBCs},Per100WBC,2014-03-26
2.0.0,/mmol,per millimole,2014-03-26
2.0.0,B[W],bel watt,2014-03-26
2.0.0,[AU],allergy unit,2014-03-26
2.0.0,%{Fat},percent Fat,2014-03-26
2.0.0,U/h,enzyme unit per hour,2014-03-26
2.0.0,%{BasalActivity},percent BasalActivity,2014-03-26
2.0.0,10*8,TenToEighth,2014-03-26
2.0.0,%{HemoglobinA1C},percent HemoglobinA1C,2014-03-26
2.0.0,B[kW],bel kilowatt,2014-03-26
2.0.0,/100{Spermatozoa},Per100Spermatozoa,2014-03-26
2.0.0,T,Tesla,2014-03-26
2.0.0,/10*12,PerTrillion,2014-03-26
2.0.0,U/dL,enzyme unit per deciliter,2014-03-26
2.0.0,Mx,Maxwell,2014-03-26
2.0.0,%{vol},VolumePercent,2014-03-26
2.0.0,10*-6{Immunofluorescence'U},(the number ten for arbitrary powers ^ -6) Immunofluorescence'U,2014-03-26
2.0.0,Ohm,Ohm,2014-03-26
2.0.0,[IU],international unit,2014-03-26
2.0.0,/100{neutrophils},per 100 neutrophils,2014-03-26
2.0.0,%{response},percent response,2014-03-26
2.0.0,B[uV],bel microvolt,2014-03-26
2.0.0,%{penetration},percent penetration,2014-03-26
2.0.0,10*6/(24.h),million per 24 hour,2014-03-26
2.0.0,/{entity},per entity,2014-03-26
2.0.0,U/g{creat},enzyme unit per gram of creatinine,2014-03-26
2.0.0,[IU]/(2.h),international unit per 2 hour,2014-03-26
2.0.0,Bq,Becquerel,2014-03-26
2.0.0,[IU]/d,international unit per day,2014-03-26
2.0.0,%{saturation},percent saturation,2014-03-26
2.0.0,10.uN.s/(cm5.m2),10 micronewton second per centimeter to the fifth power per square meter,2014-03-26
2.0.0,%{hemolysis},percent hemolysis,2014-03-26
2.0.0,/m3,per cubic meter,2014-03-26
2.0.0,U/10*12{RBCs},enzyme unit per trillion red blood cells,2014-03-26
2.0.0,10*6/uL,million per microliter,2014-03-26
2.0.0,10*3/uL,Thousands Per MicroLiter,2014-03-26
2.0.0,%[slope],percent of slope,2014-03-26
2.0.0,L/d,liter per day,2014-03-26
2.0.0,/g{tot_nit},per gram of total nitrogen,2014-03-26
2.0.0,%{0to3Hours},percent 0to3Hours,2014-03-26
2.0.0,A,Amp??re,2014-03-26
2.0.0,%{uptake},percent uptake,2014-03-26
2.0.0,[CFU],colony forming unit,2014-03-26
2.0.0,10*3{copies}/mL,thousand copies per milliliter,2014-03-26
2.0.0,/min,per minute,2014-03-26
2.0.0,%{Hb},percent hemoglobin,2014-03-26
2.0.0,%{loss_AChR},percent loss of acetylcholine receptor,2014-03-26
2.0.0,%{Hemoglobin},percent Hemoglobin,2014-03-26
2.0.0,%{bacteria},percent of bacteria,2014-03-26
2.0.0,/mm3,per cubic millimeter,2014-03-26
2.0.0,%{at_60_min},percent at 60 minute,2014-03-26
2.0.0,%{index},percent index,2014-03-26
2.0.0,%{blocked},percent blocked,2014-03-26
2.0.0,%{Carboxyhemoglobin},percent Carboxyhemoglobin,2014-03-26
2.0.0,%,percent,2014-03-26
2.0.0,[IU]/g,international unit per gram,2014-03-26
2.0.0,[Ch],French (catheter gauge),2014-03-26
2.0.0,U/10*6,enzyme unit per million,2014-03-26
2.0.0,C,Coulomb,2014-03-26
2.0.0,10*3.{RBC},Thousand Red Blood Cells,2014-03-26
2.0.0,U/mL{RBCs},enzyme unit per milliliter of red blood cells,2014-03-26
2.0.0,V,volt,2014-03-26
2.0.0,/{tot},per tot,2014-03-26
2.0.0,N.s,Newton second,2014-03-26
2.0.0,/L,per liter,2014-03-26
2.0.0,/mg,per milligram,2014-03-26
2.0.0,%{reference},percent reference,2014-03-26
2.0.0,REM,radiation equivalent man,2014-03-26
2.0.0,%{Binding},percent Binding,2014-03-26
2.0.0,%{dose},percent dose,2014-03-26
2.0.0,/g{wet_tis},per gram of wet tissue,2014-03-26
2.0.0,L/(24.h),liter per 24 hour,2014-03-26
2.0.0,[IU]/kg,international unit per kilogram,2014-03-26
2.0.0,U{G},G unit,2014-03-26
2.0.0,Ao,??ngstr??m,2014-03-26
2.0.0,%{Bound},PercentBound,2014-03-26
2.0.0,%{bound},percent bound,2014-03-26
2.0.0,/10*9,PerBillion,2014-03-26
2.0.0,U/10*12,enzyme unit per trillion,2014-03-26
2.0.0,U,enzyme Unit,2014-03-26
2.0.0,Gb,Gilbert,2014-03-26
2.0.0,A/m,Amp??re / meter,2014-03-26
2.0.0,U/10*9,enzyme unit per billion,2014-03-26
2.0.0,%{OfLymphocytes},percent OfLymphocytes,2014-03-26
2.0.0,/10*6,PerMillion,2014-03-26
2.0.0,/{oif},per oif,2014-03-26
2.0.0,%{positive},percent positive,2014-03-26
2.0.0,U/g{Cre},Unit / gram Cre,2014-03-26
