version,code,description,release_date
2.1.0,HOUSE,household expense,2020-12-10
2.1.0,SECTRSTOBV,security trust observation,2020-12-10
2.1.0,LOAAN,authentication level of assurance value,2020-12-10
2.1.0,_ECGAnnotationValue,ECGAnnotationValue,2020-12-10
2.1.0,ALLORNONESCR,All-or-nothing Scoring,2020-12-10
2.1.0,DISABLE,disabled,2020-12-10
2.1.0,HLSTAT,health status,2020-12-10
2.1.0,DEPCHD,dependent children,2020-12-10
2.1.0,LOAID,identity proofing level of assurance,2020-12-10
2.1.0,LOARA4,high remote access level of assurance,2020-12-10
2.1.0,_DiagnosisValue,DiagnosisValue,2020-12-10
2.1.0,AGGRED,aggregated,2020-12-10
2.1.0,_IndicationValue,IndicationValue,2020-12-10
2.1.0,_CommonClinicalObservationAssertionValue,CommonClinicalObservationAssertionValue,2020-12-10
2.1.0,_AnnotationValue,AnnotationValue,2020-12-10
2.1.0,CLINRPT,clinician reported,2020-12-10
2.1.0,LOARA,remote access level of assurance value,2020-12-10
2.1.0,DIGSIG,digital signature,2020-12-10
2.1.0,HCPAST,healthcare professional asserted,2020-12-10
2.1.0,LOATK3,medium token level of assurance,2020-12-10
2.1.0,SYNTAC,syntactic transform,2020-12-10
2.1.0,DEPSPS,dependent spouse,2020-12-10
2.1.0,DEVRPT,device reported,2020-12-10
2.1.0,LOAID3,medium identity proofing level of assurance,2020-12-10
2.1.0,ELSTAT,eligibility indicator,2020-12-10
2.1.0,LOAAP1,low authentication process level of assurance,2020-12-10
2.1.0,RSWON,rotating shift without nights,2020-12-10
2.1.0,DEP,dependent,2020-12-10
2.1.0,REDACTED,redacted,2020-12-10
2.1.0,MI,Minimal extent,2020-12-10
2.1.0,_MeasurementImprovementNotation,Measurement Improvement Notation,2020-12-10
2.1.0,_SECINTOBV,security integrity,2020-12-10
2.1.0,CHD,child,2020-12-10
2.1.0,TRSTCERTOBV,trust certificate observation,2020-12-10
2.1.0,_GeneticObservationValue,GeneticObservationValue,2020-12-10
2.1.0,ASSET,asset,2020-12-10
2.1.0,LOANR2,basic non-repudiation level of assurance,2020-12-10
2.1.0,COHORT,cohort measure scoring,2020-12-10
2.1.0,PAYRPT,payer reported,2020-12-10
2.1.0,FLY,family coverage,2020-12-10
2.1.0,_SECINTPRVRBOBV,provenance reported by,2020-12-10
2.1.0,ABUSE,abuse victim,2020-12-10
2.1.0,RTRD,reverse trendelenburg,2020-12-10
2.1.0,PRO-PM,patient reported outcome performance measure,2020-12-10
2.1.0,PROAST,professional asserted,2020-12-10
2.1.0,MIL,military identification,2020-12-10
2.1.0,_CoverageLocationLimitObservationValue,CoverageLocationLimitObservationValue,2020-12-10
2.1.0,PAY,paid employment,2020-12-10
2.1.0,A1,minimal reaction,2020-12-10
2.1.0,TRSLT,translated,2020-12-10
2.1.0,ELG,eligible,2020-12-10
2.1.0,RATIO,ratio measure scoring,2020-12-10
2.1.0,CONTVAR,continuous variable measure scoring,2020-12-10
2.1.0,_SecurityObservationValue,SecurityObservationValue,2020-12-10
2.1.0,PSEUDED,pseudonymized,2020-12-10
2.1.0,LOACM3,medium token and credential management level of assurance,2020-12-10
2.1.0,_ObservationMeasureScoring,ObservationMeasureScoring,2020-12-10
2.1.0,VS,variable shift,2020-12-10
2.1.0,TRD,trendelenburg,2020-12-10
2.1.0,_ObservationMeasureType,ObservationMeasureType,2020-12-10
2.1.0,HEALTH,health expense,2020-12-10
2.1.0,LOACM1,low token and credential management level of assurance,2020-12-10
2.1.0,A4,severe reaction,2020-12-10
2.1.0,SSP,same sex partner,2020-12-10
2.1.0,LOATK2,basic token level of assurance,2020-12-10
2.1.0,INVEST,investment income,2020-12-10
2.1.0,_DeviceManufacturerEvaluationResult,DeviceManufacturerEvaluationResult,2020-12-10
2.1.0,SUBSETTED,subsetted,2020-12-10
