version,code,description,release_date
"",23,Tumori solidi,
"",02,Asplenia anatomica o funzionale e candidati alla splenectomia,
"",22,"Malattie onco-ematologiche (leucemie, linfomi e mieloma multiplo)",
"",37," Malattie autoimmuni immunodeficienze primitive",
"",26,"Tossicodipendenza ",
"",08,Deficit dell'immunit?? umorale,
"",03,BPCO,
"",28,"Bambini e adolescenti in trattamento a lungo termine con acido acetilsalicilico, a rischio di Sindrome di Reye in caso di infezione influenzale",
"",40,"Disabilit?? (fisica, sensoriale; intellettiva; psichica)",
"",29,Soggetti con perdite liquorali da traumi o intervento,
"",27,Trapianto d'organo solido,
"",14,Infezione da HIV,
"",32,Malattie degli organi emopoietici,
"",13,Impianto cocleare,
"",38,Malattie cerebrovascolari,
"",16,Lesioni eczematose croniche o psoriasiche alle mani,
"",21,"Malattie infiammatorie croniche e sindromi da malassorbimento intestinale ",
"",36,"Fibrosi cistica ",
"",07,"Deficit dell'immunit?? cellulare ",
"",39,Sindrome di Down,
"",17,Malattie associate a un incrementato rischio di aspirazione delle secrezioni respiratorie quali le malattie neuromuscolari,
"",19,Malattie croniche dell'apparato respiratorio,
"",05,Coagulopatie,
"",25,Trapianto di midollo,
"",35,Malattie neurologiche,
"",20,Malattie del motoneurone,
"",34,Patologie per le quali sono programmati importanti interventi chirurgici,
"",09,Diabete mellito e altre endocrinopatie,
"",24,Obesit??,
"",00,Nessuna condizione,
"",99,"Dato non disponibile ",
"",10,Emodializzati e uremici cronici di cui si prevede l'ingresso in dialisi e dializzati,
"",11,"prevede l'ingresso in dialisi e dializzati 39.95 Emodialisi
11 Emoglobinopatie quali anemia falciforme e talassemia",
"",12,Epatopatie croniche,
"",04,Chemioterapia o radioterapia,
"",01,Alcoolismo cronico,
"",06,Deficit del complemento,
"",15,"Insufficienza renale/surrenale cronica ",
"",31,Malattie metaboliche,
"",30,Soggetti destinati a terapia immunosoppressiva,
"",33,"Malattie congenite e acquisite che comportino carente produzione di anticorpi, immunosppressione indotta da farmaci",
"",18,Malattie croniche dell'apparato cardio-circolatorio,
