version,code,description,release_date
"",A,APPARATO GASTROINTESTINALE E METABOLISMO,
"",A01,STOMATOLOGICI,
"",A01A,STOMATOLOGICI,
"",A01AA,SOSTANZE IMPIEGATE PER LA PROFILASSI DELLA CARIE,
"",A01AA01,SODIO FLUORURO,
"",A01AA02,SODIO MONOFLUOROFOSFATO,
"",A01AA03,OLAFLUR,
"",A01AA04,FLUORURO STANNOSO,
"",A01AA30,ASSOCIAZIONI,
"",A01AA51,"SODIO FLUORURO, ASSOCIAZIONI",
"",A01AB,ANTIMICROBICI PER TRATTAMENTO ORALE LOCALE,
"",A01AB02,IDROGENO PEROSSIDO,
"",A01AB03,CLOREXIDINA,
"",A01AB04,AMFOTERICINA,
"",A01AB05,POLINOXILINA,
"",A01AB06,DOMIFENE,
"",A01AB07,OSSICHINOLINA,
"",A01AB08,NEOMICINA,
"",A01AB09,MICONAZOLO,
"",A01AB10,NATAMICINA,
"",A01AB11,VARI,
"",A01AB12,ESETIDINA,
"",A01AB13,TETRACICLINA,
"",A01AB14,BENZOXONIO CLORURO,
"",A01AB15,TIBENZONIO IODURO,
"",A01AB16,MEPARTRICINA,
"",A01AB17,METRONIDAZOLO,
"",A01AB18,CLOTRIMAZOLO,
"",A01AB19,SODIO PERBORATO,
"",A01AB21,CLORTETRACICLINA,
"",A01AB22,DOXICICLINA,
"",A01AB23,MINOCICLINA,
"",A01AB24,OCTENIDINA,
"",A01AB25,OSSITETRACICLINA,
"",A01AB53,CLORHEXIDINA E CETILPIRIDINIO,
"",A01AC,CORTICOSTEROIDI PER IL TRATTAMENTO ORALE LOCALE,
"",A01AC01,TRIAMCINOLONE,
"",A01AC02,DESAMETASONE,
"",A01AC03,IDROCORTISONE,
"",A01AC04,PREDNISOLONE,
"",A01AC54,"PREDNISOLONE, ASSOCIAZIONI",
"",A01AD,ALTRE SOSTANZE PER IL TRATTAMENTO ORALE LOCALE,
"",A01AD01,ADRENALINA,
"",A01AD02,BENZIDAMINA,
"",A01AD05,ACIDO ACETILSALICILICO,
"",A01AD06,ADRENALONE,
"",A01AD07,AMLEXANOX,
"",A01AD08,BECAPLERMIN,
"",A01AD11,VARI,
"",A02,"ANTIACIDI, ANTIMETEORICI E ANTIULCERA PEPTICA",
"",A02A,ANTIACIDI,
"",A02AA,COMPOSTI DEL MAGNESIO,
"",A02AA01,MAGNESIO CARBONATO,
"",A02AA02,MAGNESIO OSSIDO,
"",A02AA03,MAGNESIO PEROSSIDO,
"",A02AA04,MAGNESIO IDROSSIDO,
"",A02AA05,MAGNESIO SILICATO,
"",A02AA10,ASSOCIAZIONI,
"",A02AB,COMPOSTI DELL'ALLUMINIO,
"",A02AB01,ALLUMINIO IDROSSIDO,
"",A02AB02,ALGELDRATO,
"",A02AB03,ALLUMINIO FOSFATO,
"",A02AB04,DIIDROSSIALUMINIO SODIO CARBONATO,
"",A02AB05,ALLUMINIO ACETOACETATO,
"",A02AB06,ALOGLUTAMOLO,
"",A02AB07,ALLUMINIO GLICINATO,
"",A02AB10,ASSOCIAZIONI,
"",A02AC,COMPOSTI DEL CALCIO,
"",A02AC01,CALCIO CARBONATO,
"",A02AC02,CALCIO SILICATO,
"",A02AC10,ASSOCIAZIONI,
"",A02AD,"ASSOCIAZIONI E COMPLESSI FRA COMPOSTI DI ALLUMINIO, CALCIO E MAGNESIO",
"",A02AD01,ASSOCIAZIONI DI SALI ORDINARIE,
"",A02AD02,MAGALDRATO,
"",A02AD03,ALMAGATO,
"",A02AD04,IDROTALCITE,
"",A02AD05,ALMASILATO,
"",A02AF,ANTIACIDI ASSOCIATI AD ANTIMETEORICI,
"",A02AF01,MAGALDRATO E ANTIMETEORICI,
"",A02AF02,ASSOCIAZIONI DI SALI ORDINARIE E ANTIMETEORICI,
"",A02AG,ANTIACIDI ASSOCIATI AD ANTISPASTICI,
"",A02AH,ANTIACIDI ASSOCIATI A SODIO BICARBONATO,
"",A02AX,"ANTIACIDI, ALTRE ASSOCIAZIONI",
"",A02B,ANTIULCERA PEPTICA,
"",A02BA,ANTAGONISTI DEI RECETTORI H2,
"",A02BA01,CIMETIDINA,
"",A02BA02,RANITIDINA,
"",A02BA03,FAMOTIDINA,
"",A02BA04,NIZATIDINA,
"",A02BA05,NIPEROTIDINA,
"",A02BA06,ROXATIDINA,
"",A02BA07,RANITIDINA BISMUTO CITRATO,
"",A02BA08,LAFUTIDINA,
"",A02BA51,"CIMETIDINA, ASSOCIAZIONI",
"",A02BA53,"FAMOTIDINA, ASSOCIAZIONI",
"",A02BB,PROSTAGLANDINE,
"",A02BB01,MISOPROSTOLO,
"",A02BB02,ENPROSTIL,
"",A02BC,INIBITORI DELLA POMPA ACIDA,
"",A02BC01,OMEPRAZOLO,
"",A02BC02,PANTOPRAZOLO,
"",A02BC03,LANSOPRAZOLO,
"",A02BC04,RABEPRAZOLO,
"",A02BC05,ESOMEPRAZOLO,
"",A02BC06,DEXLANSOPRAZOLE,
