version,code,description,release_date
"",CMGC,certified clinical molecular genetics care,
"",ID,Identified,
"",CANC,certified anesthesiology care,
"",FFCS,"first fill complete, partial strength",
"",CURC,certified urology care,
"",LGPC,licensed general physician care,
"",HH,home health,
"",CMSC,certified multiple sclerosis care,
"",WEEK,week,
"",_ActCoverageLimitCode,ActCoverageLimitCode,
"",V,Visa,
"",CCAR,certified cardiac care,
"",TFS,trial fill partial strength,
"",DISPLAY,Display,
"",_ActEncounterCode,ActEncounterCode,
"",AUTOATTCH,auto attachment,
"",XRAY,x-ray,
"",CDEC,certified dermatology care,
"",COPD,certified chronic obstructive pulmonary disease care,
"",SS,short stay,
"",_ActClaimAttachmentCategoryCode,ActClaimAttachmentCategoryCode,
"",LFEMX,life time maximum,
"",UNITPRICE,Unit Price,
"",19,Consulted Supplier,
"",_ActAdjudicationGroupCode,ActAdjudicationGroupCode,
"",CSIC,certified sickle cell care,
"",MONTH,month,
"",PSYCH,Psychiatric,
"",MODEL,model,
"",COPC,certified ophthalmology care,
"",CDRC,certified diagnostic radiology care,
"",_ActBoundedROICode,ActBoundedROICode,
"",INFAO,access only,
"",CAMC,certified aerospace medicine care,
"",_ActControlVariable,ActControlVariable,
"",CPHC,certified public health and general preventive medicine care,
"",COMC,certified occupational medicine care,
"",HCPCSA,HCPCS Level II and Carrier-assigned,
"",CNQC,certified neurology with special qualifications in child neurology care,
"",HEALTHREC,health record,
"",CHRO,certified high risk obstetrics care,
"",NAUTH,Not Authorized,
"",CVDC,certified vascular diseases care,
"",ACHC,accredited hospital care,
"",CEMC,certified emergency medicine care,
"",REFLEX,reflex permission,
"",IMP,inpatient encounter,
"",CNMC,certified nuclear medicine care,
"",ACUTE,inpatient acute,
"",CHFC,certified heart failure care,
"",ACAC,accredited critical access hospital care,
"",AR,adjudicated as refused,
"",CBGC,certified clinical biochemical genetics care,
"",ENDC,endogenous content,
"",CAP,capitation funding,
"",COTC,certified otolaryngology care,
"",CROC,certified radiation oncology care,
"",L,Left Equipment,
"",CSUC,certified surgery care,
"",ROST,roster funding,
"",CAIC,certified allergy and immunology care,
"",AOSC,accredited office-based surgery care,
"",CPND,certified pneumonia disease care,
"",PRENC,pre-admission,
"",_ActContainerRegistrationCode,ActContainerRegistrationCode,
"",CIMC,certified internal medicine care,
"",CWOH,certified women's health care,
"",FFPS,"first fill, part fill, partial strength",
"",CSDM,certified stroke disease management care,
"",X,Container Unavailable,
"",WIATTCH,work injury report attachment,
"",SURG,Surgical,
"",IDSCL,information disclosure,
"",ABHC,accredited behavioral health care,
"",LOC,location,
"",CDIA,certified diabetes care,
"",CORT,certified organ transplant care,
"",_ActAccountCode,ActAccountCode,
"",CCCC,certified clinical cytogenetics care,
"",DRGRHB,Drug Rehab,
"",OBSENC,observation encounter,
"",CASH,Cash,
"",ICOL,information collection,
"",_ActBillableModifierCode,ActBillableModifierCode,
"",M,Missing,
"",DV,Discover Card,
"",_ActConsentType,ActConsentType,
"",CONTF,contract funding,
"",_ActCredentialedCareProvisionProgramCode,act credentialed care provision program,
"",_ActCoverageAuthorizationConfirmationCode,ActCoverageAuthorizationConfirmationCode,
"",CPST,certified primary stroke center care,
"",ROIFS,fully specified ROI,
"",CMIH,certified migraine headache care,
"",ALC,Alternative Level of Care,
"",O,In Process,
"",CPTM,CPT modifier codes,
"",CPEC,certified pediatrics care,
"",SESS,sessional funding,
"",IRDSCL,information redisclosure,
"",PHYRHB,Physical Rehab,
"",_ActMedicalServiceCode,ActMedicalServiceCode,
"",OBS,Obstetrics,
"",NETAMT,Net Amount,
"",BLK,block funding,
"",AMB,ambulatory,
"",PBILLACCT,patient billing account,
"",CNSC,certified neurological surgery care,
"",IMG,image attachment,
"",_ActCoverageQuantityLimitCode,ActCoverageQuantityLimitCode,
"",CARD,Cardiology,
"",ONC,Oncology,
"",_ActCoverageConfirmationCode,ActCoverageConfirmationCode,
"",ACCTRECEIVABLE,account receivable,
"",CC,credit card,
"",AALC,accredited assisted living care,
"",COJR,certified orthopedic joint replacement care,
"",PIE,public insurance exhausted,
"",NON,Non-Payment Data,
"",OPTOUTE,opt-out with exceptions,
"",_ActHealthInsuranceTypeCode,ActHealthInsuranceTypeCode,
"",CSPINV,clinical service and product,
"",CAMI,certified acute myocardial infarction care,
"",LIFE,life insurance policy,
"",RXCAT,medication category,
"",CSLD,certified sleep disorders care,
"",10,Provided Patient Education,
"",CPNDDRGING,compound drug invoice group,
"",HISTMEDLIST,medication history,
"",IMPLIED,implied consent,
"",_ActDetectedIssueManagementCode,ActDetectedIssueManagementCode,
"",PUBLICPOL,public healthcare,
"",EPYMT,early payment fee,
"",FRSTFEE,first fee,
"",ANNU,annuity policy,
"",EMRGONLY,emergency only,
"",ADRFPPMNAT,adjud. refused prior-period manual amount,
"",RETIRE,retiree health program,
"",PDPPPPELAT,paid payee payable prior-period electronic amount,
"",_ActInsuranceTypeCode,ActInsuranceTypeCode,
"",ACDEMO,demographics access,
"",ALLGCAT,allergy category,
"",_ActInvoiceAdjudicationPaymentCode,ActInvoiceAdjudicationPaymentCode,
"",FFS,fee for service,
"",CommonRule,Common Rule,
"",CFPC,certified family practice care,
"",FST,federal sales tax,
"",ADPPSPMNCT,adjud. payee payable same-period manual count,
"",LTC,long term care policy,
"",JurisIP,jurisdictional information policy,
"",CHK,Cheque,
"",CHAR,charity program,
"",_InvoiceElementPaid,InvoiceElementPaid,
"",CHR,Chronic,
"",ADNFSPMNCT,adjud. nullified same-period manual count,
"",_ActPrivacyConsentDirective,_ActPrivacyConsentDirective,
"",SUBPOL,substance use policy,
"",PINV,paper invoice,
"",COL,collision coverage policy,
"",7,Interacting Therapy No Longer Active/Planned,
"",MDHHS-5515,Michigan Consent to Share Behavioral Health Information for Care Coordination Purposes,
"",JurisLDS,jurisdictional limited data set,
"",_ActInvoiceDetailGenericAdjudicatorCode,ActInvoiceDetailGenericAdjudicatorCode,
"",ADNPPPMNCT,adjud. non-payee payable prior-period manual count,
"",CCGC,certified clinical genetics (M.D.) care,
"",4,Consulted Other Source,
"",PROA,professional association deduction,
"",RECOV,recovery,
"",HIPAAConsent,HIPAA Consent,
"",WPA,Workplace accident,
"",ARCAT,adverse drug reaction category,
"",ORTHO,orthodontic service,
"",ADNFSPELAT,adjud. nullified same-period electronic amount,
"",CAPC,certified anatomic pathology care,
"",17,Weekend Supply,
"",ACMEDC,medical condition access,
"",INFCON,after explicit consent,
"",_ActInvoiceElementCode,ActInvoiceElementCode,
"",_ActListCode,ActListCode,
"",FFC,First Fill - Complete,
"",OIC,opt-in to personal information or effect collection in a registry or repository,
"",PersLDS,personal limited data set information policy,
"",HIPAAAuth,HIPAA Authorization for Disclosure,
"",MED,Medical,
"",MENTPRG,mental health program,
"",CFWD,carry forward adjusment,
"",PUBLICPOL,public healthcare,
"",LTRMCARE,Long Term Care Facility Interaction,
"",DIS,disability insurance policy,
"",ADNFSPMNAT,adjud. nullified same-period manual amount,
"",PDPPPPMNAT,paid payee payable prior-period manual amount,
"",UNINSMOT,uninsured motorist policy,
"",SUBPRG,substance use program,
"",ONET,one time,
"",WCBPOL,worker's compensation,
"",POS,point of service policy,
"",8,Other Action Taken,
"",PDNPSPELAT,paid non-payee payable same-period electronic amount,
"",AE,American Express,
"",CTSC,certified thoracic surgery care,
"",ADRFPPMNCT,adjud. refused prior-period manual count,
"",1,Therapy Appropriate,
"",MVA,Motor vehicle accident,
"",ALEC,alternate electronic,
"",LENSING,lens invoice group,
"",RX,prescription only medicine,
"",OrgCUI,organizational basic controlled unclassified information policy,
"",ADNPPPMNAT,adjud. non-payee payable prior-period manual amount,
"",UDE,unit dose equivalent,
"",GOVEMP,government employee health program,
"",PDPPSPELAT,paid payee payable same-period electronic amount,
"",FFPS,"first fill, part fill, partial strength",
"",PDNFPPELAT,paid nullified prior-period electronic amount,
"",_ActUSPrivacyLaw,_ActUSPrivacyLaw,
"",SUBSTNCE,Common Substance Interaction,
"",AS,adjudicated as submitted,
"",_ActInsurancePolicyCode,ActInsurancePolicyCode,
"",HIPAAROAD,HIPAA Right of Access Directive,
"",CompoundResearchCD,Compound HIPAA Research Authorization and Informed Consent for Research,
"",PDNPSPMNAT,paid non-payee payable same-period manual amount,
"",CHRG,Standard Charge,
"",LU,limited use,
