version,code,description,release_date
"",01.32,Lobotomia e trattotomia,
"",008.5,Enterite batterica non specificata,
"",005,Altre intossicazioni alimentari (batteriche),
"",00.4,Procedure aggiuntive relative al sistema vascolare,
"",016.61,"Ooforite e salpingite tubercolari, esame batteriologico o istologico non effettuato",
"",008.44,Infezione intestinale da Yersinia enterocolitica,
"",00.0,Terapia ad ultrasuoni,
"",008.64,Enterite da altri small round virus,
"",010.10,"Pleurite tubercolare in tubercolosi primaria progressiva, non specificata",
"",01.2,Craniotomia e craniectomia,
"",006.9,Amebiasi non specificata,
"",003.8,Altre infezioni specifiche da Salmonella,
"",007.2,Coccidiosi,
"",00.72,"Revisione della protesi d???anca, componente femorale",
"",00.02,Terapia ad ultrasuoni del cuore,
"",007.1,Giardiasi,
"",00.81,"Revisione della protesi di ginocchio, componente tibiale",
"",003.29,Altre infezioni localizzate da Salmonella,
"",015.83,"Tubercolosi di altre articolazioni, esame microscopico dell???espettorato positivo",
"",006.5,Ascesso amebico dell???encefalo,
"",01.22,Rimozione di elettrodo/i di neurostimolatore intracranico,
"",002.9,Paratifo non specificato,
"",017.10,"Eritema nodoso con reazione d???ipersensibilita' in corso di tubercolosi, non specificato",
"",00.15,Infusione di Interleuchina-2 ad alte dosi (IL-2),
"",00.92,"Trapianto da donatore non-parente, vivente",
"",00.40,Procedure su un singolo vaso,
"",010.03,"Complesso tubercolare primario, esame microscopico dell???espettorato positivo",
"",00.5,Altre procedure cardiovascolari,
"",003.22,Polmonite da Salmonella,
"",00.21,Imaging intravascolare dei vasi cerebrali extracranici,
"",008.09,Altre infezioni intestinali da Esche richia coli,
"",00.83,"Revisione della protesi di ginocchio, componente patellare",
"",00.46,Inserzione di due stent vascolari,
"",01.59,Altra asportazione o demolizione di lesione o tessuto cerebrale,
"",013.6,Encefalite o mielite tubercolare,
"",009.3,Diarrea di presunta origine infettiva,
"",003.9,Infezioni da Salmonella non specificate,
"",00.29,"Imaging intravascolare, vasi non specificati",
"",008.1,Infezione intestinale da bacilli paracolici del gruppo Arizona,
"",005.4,Intossicazione alimentare da Vibrio parahaemolyticus,
"",008.65,Enterite da Calicivirus,
"",005.0,Intossicazione alimentare da Stafilococco,
"",00.64,Inserzione percutanea di stent in altre arterie precerebrali (extracraniche),
"",004.9,Shigellosi non specificata,
"",007.4,Criptosporidiosi,
"",01.4,Interventi sul talamo e sul globo pallido,
"",02.07,Rimozione di placca del cranio,
"",008.04,Infezione intestinale da Escherichia coli enteroemorragico,
"",00.34,Chirurgia computer-assistita senza immagini,
"",005.3,Intossicazione alimentare da altri Clostridi,
"",01.0,Puntura transcranica (trapanazione del cranio),
"",008.46,Infezione intestinale da altri anaerobi,
"",00.82,"Revisione della protesi di ginocchio, componente femorale",
"",006,Amebiasi,
"",011.45,"Fibrosi tubercolare del polmone, esame batteriologico negativo; ma tubercolosi confermata istologicamente",
"",008.03,Infezione intestinale da Escherichia coli enteroinvasioa,
"",008.69,Altre enteriti virali,
"",01.53,Lobectomia cerebrale (per lesione organica),
"",00.91,"Trapianto da donatore parente, vivente",
"",00.75,"Superficie di appoggio della protesi d???anca, metallo su metallo",
"",013.16,"Tubercoloma delle meningi, esami batteriologici o istologici negativi; ma tubercolosi confermata in laboratorio con altri metodi",
"",00.18,Infusione di terapia anticorpale immunosoppressiva durante la fase di induzione di trapianto di organo solido,
"",016.90,Tubercolosi genitourinaria non specificata,
