version,code,description,release_date
"",00.91,"TRAPIANTO DA DONATORE PARENTE, VIVENTE",2022-04-01
"",00.92,"TRAPIANTO DA DONATORE NON-PARENTE, VIVENTE",2022-04-01
"",02.04,INNESTO OSSEO SUL CRANIO,2022-04-01
"",04.6,TRASPOSIZIONE DI NERVI CRANICI E PERIFERICI (TRAPIANTO DI NERVO),2022-04-01
"",06.94,AUTOTRAPIANTODEL TESSUTO TIROIDEO (ETEROTOPICO) (ORTOTOPICO),2022-04-01
"",06.95,AUTOTRAPIANTO DEL TESSUTO PARATIROIDEO (ETEROTOPICO) (ORTOTOPICO),2022-04-01
"",07.45,AUTOTRAPIANTODEL TESSUTO SURRENALE (ETEROTOPICO) (ORTOTOPICO),2022-04-01
"",07.94,TRAPIANTO DEL TIMO,2022-04-01
"",11.60,"TRAPIANTO DI CORNEA, NON ALTRIMENTI SPECIFICATO",2022-04-01
"",11.69,ALTRO TRAPIANTO DELLA CORNEA,2022-04-01
"",33.50,TRAPIANTO DEL POLMONE SAI,2022-04-01
"",33.51,TRAPIANTO UNILATERALE DEL POLMONE,2022-04-01
"",33.52,TRAPIANTO BILATERALE DEL POLMONE,2022-04-01
"",33.6,TRAPIANTO COMBINATO CUORE-POLMONE,2022-04-01
"",35.2,SOSTITUZIONE DI VALVOLA CARDIACA,2022-04-01
"",37.51,TRAPIANTO DI CUORE,2022-04-01
"",39.55,ARTERIA RENALE ABERRANTE,2022-04-01
"",39.59,TRAPIANTO DI ARTERIA,2022-04-01
"",41.00,TRAPIANTO DI MIDOLLO OSSEO SAI,2022-04-01
"",41.01,TRAPIANTO DI MIDOLLO OSSEO AUTOLOGO SENZA DEPURAZIONE,2022-04-01
"",41.02,TRAPIANTO DI MIDOLLO OSSEO ALLOGENICO CON DEPURAZIONE,2022-04-01
"",41.03,TRAPIANTO DI MIDOLLO OSSEO ALLOGENICO SENZA DEPURAZIONE,2022-04-01
"",41.06,TRAPIANTO DI CELLULE STAMINALI DA SANGUE PRELEVATO DA VASI DEL CORDONE OMBELICALE,2022-04-01
"",41.07,TRAPIANTO AUTOLOGO DI CELLULE STAMINALI CON DEPURAZIONE,2022-04-01
"",41.08,TRAPIANTO ALLOGENICO DI CELLULE STAMINALI EMATOPOIETICHE CON DEPURAZIONE,2022-04-01
"",41.09,TRAPIANTO AUTOLOGO DI MIDOLLO OSSEO CON DEPURAZIONE,2022-04-01
"",41.91,"PUNTURA STERNALE, DONATORE PER TRAPIANTO MIDOLLO OSSEO",2022-04-01
"",41.94,TRAPIANTO DI MILZA,2022-04-01
"",46.97,TRAPIANTO DI INTESTINO,2022-04-01
"",49.74,TRAPIANTO DEL MUSCOLO GRACILE PER INCONTINENZA ANALE,2022-04-01
"",50.51,TRAPIANTO DI FEGATO AUSILIARIO,2022-04-01
"",50.59,ALTRO TRAPIANTO DEL FEGATO,2022-04-01
"",52.80,"TRAPIANTO DEL PANCREAS, SAI",2022-04-01
"",52.81,ATOTRAPIANTO DEL TESSUTO PANCREATICO,2022-04-01
"",52.82,TRAPIANTO OMOLOGO DI PANCREAS,2022-04-01
"",52.83,TRAPIANTO ETEROLOGO DI PANCREAS,2022-04-01
"",55.61,AUTOTRAPIANTO,2022-04-01
"",55.69,ETEROTRAPIANTO (INDIPENDENTEMENTEDA CADAVERE O VIVENTE),2022-04-01
"",55.69,ETEROTRAPIANTO (INDIPENDENTEMENTE DA CADAVERE O VIVENTE),2022-04-01
"",65.72,AUTOTRAPIANTO OVAIO,2022-04-01
"",65.75,AUTOTRAPIANTO LAPAROSCOPICO OVAIO,2022-04-01
"",65.92,TRAPIANTO DI OVAIO,2022-04-01
"",78.00,TRAPIANTO OSSEO,2022-04-01
"",82.5,TRAPIANTO DI MUSCOLI E TENDINI DELLA MANO,2022-04-01
"",82.56,ALTRO TRASFERIMENTO O TRAPIANTO DI TENDINI DELLA MANO,2022-04-01
"",82.58,ALTRO TRASFERIMENTO O TRAPIANTO DI MUSCOLI DELLA MANO,2022-04-01
"",82.58,ALTRO TRASFERIMENTO O TRAPIANTO DI MUSCOLI DELLA MANO,2022-04-01
"",82.72,TRAPIANTO DI FASCIA DELLA MANO,2022-04-01
"",83.75,TRASPOSIZIONE O TRAPIANTO DI TENDINI,2022-04-01
"",83.77,TRASPOSIZIONE O TRAPIANTO DI MUSCOLI,2022-04-01
"",86.65,Eteroinnesto sulla cute,2022-04-01
"",86.66,OMOINNESTO SULLA CUTE,2022-04-01
"",86.66,Omoinnesto sulla cute,2022-04-01
"",86.67,INNESTO DI DERMA RIGENERATIVO,2022-04-01
"",86.69,Altro innesto di cute su altre sedi,2022-04-01
