version,code,description,release_date
""," 37045010",OLVERE E SOLVENTE PER SOSPENSIONE ORALE 1 ML 1 FLACONCIO + 1 SIRINGA PRERIEMPITA + 1 ADATTATORE DI TRASFERIMENTO,
""," 37045022",OLVERE E SOLVENTE PER SOSPENSIONE ORALE 1 ML 5 FLACONCINI + 5 SIRINGHE PRERIEMPITE + 5 ADATTATORI DI TRASFERIMENTO,
""," 37045034",OLVERE E SOLVENRTE PER SOSPENSIONE ORALE 1 ML 10 FLACONCINI + 10 SIRINGHE PRERIEMPITE + 10 ADATTATORI DI TRASAFERIMENTO,
""," 37045046",OLVERE E SOLVENTE PER SOSPENSIONE ORALE 1 ML 25 FLACONCINI + 25 SIRINGHE PRERIEMPITE + 25 ADATTATORI DI TRASFERIMENTO,
""," 37045059","SOSPENSIONE ORALE- USO ORALE- APPLICATORE ORALE PRERIEMPITO (VETRO) 1,5 ML"" 1 APPLICATORE ORALE",
""," 37045061","SOSPENSIONE ORALE- USO ORALE- APPLICATORE ORALE PRERIEMPITO (VETRO) 1,5 ML"" 5 APPLICATORI ORALI",
""," 37045073","SOSPENSIONE ORALE- USO ORALE- APPLICATORE ORALE PRERIEMPITO (VETRO) 1,5 ML"" 10 APPLICATORI ORALI",
""," 37045085","SOSPENSIONE ORALE- USO ORALE- APPLICATORE ORALE PRERIEMPITO (VETRO) 1,5 ML"" 25 APPLICATORI ORALI",
""," 37045097","SOSPENSIONE ORALE- USO ORALE- TUBO SPREMIBILE (POLIETILENE) 1,5 ML 1 TUBO SPREMIBILE",
""," 37045109","SOSPENSIONE ORALE- USO ORALE- TUBO SPREMIBILE (POLIETILENE) 1,5 ML 10 TUBI SPREMIBILI",
""," 37045111","SOSPENSIONE ORALE- USO ORALE- TUBO SPREMIBILE (POLIETILENE) 1,5 ML 50 TUBI SPREMIBILI",
""," 37045123","SOSPENSIONE ORALE- USO ORALE- PRESENTAZIONE MULTIPLA DI TUBI SPREMIBILI MONODOSE (5 DOSI SINGOLE) (POLITENE) COLLEGATI DA UNA BARRA- 5 X 1,5 ML- 50 TUBI SPREMIBILI",
""," 49661364","METFORMINA ACCORD ""1000 MG COMPRESSE RIVESTITE CON FILM"" 200 COMPRESSE IN BLISTER PVC-AL",
"",000248031,PILOCARP. ALL*10MG/ML COL10ML,
"",000248056,PILOCARP. ALL*20MG/ML COL10ML,
"",000307037,ATROPINA LUX*5MG/ML FL.10ML,
"",000307052,ATROPINA LUX*10MG/ML 1FL10ML,
"",000367058,TISANA KELEMATA*POLV. OS 80G,
"",000367072,TISANA KELEMATA*20 BUST FIL,
"",000367108,TISANA KELEMATA*16MG 40CPR,
"",000527034,MAGNESIA EFF.SELLA*LIMONE115,
"",000527061,MAGNESIA EFF.SELLA*MENTA115G,
"",000590012,RINAZINA*1MG/ML GTT NAS 10ML,
"",000590051,RINAZINA*100MG/100ML SPY15ML,
"",001042023,VALERIANA AFS*30CPRRIV100MG,
"",001250012,HEPATOS*SCIR. 200 G,
"",001328020,BEPAMEDIN*IM IV 3F 2ML 500MG,
"",001340025,BENADON*300MG 10CPR RIV.,
"",001578018,EURAX*CREMA 20 G 10%,
"",001738020,ADISTEROLO*300 IM OS 2F 1ML,
"",001738032,ADISTEROLO*100 OS IM 10F 1ML,
"",001738057,ADISTEROLO*OS GTT 10 ML,
"",001740063,ALLERGAN*CREMA 30 G 2%,
"",001802026,GOCCEMED*5G/100 ML FL 30ML,
"",002021032,TEFAMIN*IV 5 F 10 ML 240 MG,
"",002021044,TEFAMIN*30CPR RIV. 200 MG,
"",002039042,AUREOMICINA*1% CREM OFT.,
"",002129017,DINTOINA*100 MG 30CPR,
"",002177018,"PENSULVIT*UNG. OFT 6,5G",
"",002192019,ARAN C*10 CPR MASTIC. 1 G,
"",002238044,"ANATETALL*INIETT. 1SIR.0,5ML",
"",002309033,FOLINA*15MG/2ML IM 5 F,
"",002309045,FOLINA*5MG 20 CPS MOLLI,
"",002309058,FOLINA*5MG 60 CPS MOLLI,
"",002309060,FOLINA*5MG 20 CPS MOLLI,
"",002427274,AMARO MED.GIUL.*LIQ. 400 G,
"",002516060,REACTIFARGAN*2% CREMA 20G,
"",002806091,VERAMON*200+286MG 10CPR,
"",002851018,DINTOINALE*100/40MG 30CPR,
"",002860017,LUMINALE*200MG/ML IM10F 1ML,
"",002860031,LUMINALE*100MG 20 CPR,
"",002860043,LUMINALE*15MG 30 CPR,
