version,code,description,release_date
2.2.0,COCBEN,continuity of coverage beneficiary,2019-12-15
2.2.0,FI,Fiber,2019-12-15
2.2.0,_PractitionerCertifiedEntityType,PractitionerCertifiedEntityType,2019-12-15
2.2.0,_ProductSafetyReportPartyRoleType,ProductSafetyReportPartyRoleType,2019-12-15
2.2.0,PGGRMTH,paternal great-grandmother,2019-12-15
2.2.0,EPIL,Epilepsy unit,2019-12-15
2.2.0,DAU,natural daughter,2019-12-15
2.2.0,POD,Podiatry clinic,2019-12-15
2.2.0,GACH,Hospitals; General Acute Care Hospital,2019-12-15
2.2.0,PUNCLE,paternal uncle,2019-12-15
2.2.0,NMTH,natural mother,2019-12-15
2.2.0,DOMPART,domestic partner,2019-12-15
2.2.0,PRN,parent,2019-12-15
2.2.0,PGRMTH,paternal grandmother,2019-12-15
2.2.0,TWINBRO,twin brother,2019-12-15
2.2.0,TWINBRO,twin brother,2019-12-15
2.2.0,PGGRPRN,paternal great-grandparent,2019-12-15
2.2.0,_ProgramEligiblePartyRoleType,ProgramEligiblePartyRoleType,2019-12-15
2.2.0,_CertifiedEntityType,CertifiedEntityType,2019-12-15
2.2.0,CONSENTER,consenter,2019-12-15
2.2.0,OPTC,optometry clinic,2019-12-15
2.2.0,WL,Wool,2019-12-15
2.2.0,PROCTO,Proctology clinic,2019-12-15
2.2.0,STPSIS,stepsister,2019-12-15
2.2.0,GRANTOR,grantor,2019-12-15
2.2.0,MBL,medical laboratory,2019-12-15
2.2.0,STPBRO,stepbrother,2019-12-15
2.2.0,TWINSIS,twin sister,2019-12-15
2.2.0,MU,Multiplier,2019-12-15
2.2.0,UNCLE,uncle,2019-12-15
2.2.0,WIFE,wife,2019-12-15
2.2.0,FTWINSIS,fraternal twin sister,2019-12-15
2.2.0,GIDX,Gastroenterology diagnostics or therapeutics lab,2019-12-15
2.2.0,ORTHO,Orthopedics clinic,2019-12-15
2.2.0,CRS,Colon and rectal surgery clinic,2019-12-15
2.2.0,HEM,Hematology clinic,2019-12-15
2.2.0,DELEGATOR,delegator,2019-12-15
2.2.0,DECLASSIFIER,declassifier,2019-12-15
2.2.0,PCOUSN,paternal cousin,2019-12-15
2.2.0,PT,Patient,2019-12-15
2.2.0,MGGRMTH,maternal great-grandmother,2019-12-15
2.2.0,BIOTH,Biotherapeutic non-person living subject,2019-12-15
2.2.0,ADOPTM,adoptive mother,2019-12-15
2.2.0,ADOPTM,adoptive mother,2019-12-15
2.2.0,PAINCL,Pain clinic,2019-12-15
2.2.0,ITWINSIS,identical twin sister,2019-12-15
2.2.0,SH,Show,2019-12-15
2.2.0,RHPIH,physical impairment - hearing center,2019-12-15
2.2.0,CHEST,Chest unit,2019-12-15
2.2.0,DERM,Dermatology clinic,2019-12-15
2.2.0,RHPI,physical impairment center,2019-12-15
2.2.0,OUTPHARM,outpatient pharmacy,2019-12-15
2.2.0,STPDAU,stepdaughter,2019-12-15
2.2.0,TR,Transplant clinic,2019-12-15
2.2.0,MGDSF,manufactured drug strength form,2019-12-15
2.2.0,HSIB,half-sibling,2019-12-15
2.2.0,RTF,Residential treatment facility,2019-12-15
2.2.0,COAG,Coagulation clinic,2019-12-15
2.2.0,FTWINBRO,fraternal twin brother,2019-12-15
2.2.0,ADOPTF,adoptive father,2019-12-15
2.2.0,SONADOPT,adopted son,2019-12-15
2.2.0,TRAVEL,Travel and geographic medicine clinic,2019-12-15
2.2.0,homeHealth,Home Health,2019-12-15
2.2.0,FULLINS,Fully insured coverage sponsor,2019-12-15
2.2.0,DR,Draft,2019-12-15
2.2.0,NFTHF,natural father of fetus,2019-12-15
2.2.0,INPHARM,inpatient pharmacy,2019-12-15
2.2.0,STPPRN,step parent,2019-12-15
2.2.0,Q,Quality Control,2019-12-15
2.2.0,_AssignedNonPersonLivingSubjectRoleType,AssignedNonPersonLivingSubjectRoleType,2019-12-15
2.2.0,RHU,Rehabilitation hospital unit,2019-12-15
2.2.0,SUBSCR,subscriber,2019-12-15
2.2.0,HUSCS,specimen collection site,2019-12-15
2.2.0,ACC,accident site,2019-12-15
2.2.0,DX,Diagnostics or therapeutics unit,2019-12-15
2.2.0,FSTUD,full-time student,2019-12-15
2.2.0,_DedicatedServiceDeliveryLocationRoleType,DedicatedServiceDeliveryLocationRoleType,2019-12-15
2.2.0,DEP,,2019-12-15
2.2.0,NBRO,natural brother,2019-12-15
2.2.0,RHEUM,Rheumatology clinic,2019-12-15
2.2.0,OUTPHARM,outpatient pharmacy,2019-12-15
2.2.0,GRNDCHILD,grandchild,2019-12-15
2.2.0,ADOPTF,adoptive father,2019-12-15
2.2.0,TWIN,twin,2019-12-15
2.2.0,subject,Self,2019-12-15
2.2.0,ROOM,Roommate,2019-12-15
2.2.0,PROG,program eligible,2019-12-15
2.2.0,RETIREE,retiree,2019-12-15
2.2.0,PEDHEM,Pediatric hematology clinic,2019-12-15
2.2.0,HD,Hemodialysis unit,2019-12-15
2.2.0,BR,Breeder,2019-12-15
2.2.0,DEBR,Debridement,2019-12-15
2.2.0,MCOUSN,maternal cousin,2019-12-15
2.2.0,MGEN,Medical genetics clinic,2019-12-15
2.2.0,PEDRHEUM,Pediatric rheumatology clinic,2019-12-15
2.2.0,DAUADOPT,adopted daughter,2019-12-15
2.2.0,_ContactRoleType,ContactRoleType,2019-12-15
2.2.0,ADOPT,adopted child,2019-12-15
2.2.0,GRMTH,grandmother,2019-12-15
2.2.0,RHMAD,parents with adjustment difficulties center,2019-12-15
2.2.0,REVIEWER,reviewer,2019-12-15
2.2.0,CHLDINLAW,child-in-law,2019-12-15
2.2.0,LYMPH,Lympedema clinic,2019-12-15
2.2.0,_LocationIdentifiedEntityRoleCode,LocationIdentifiedEntityRoleCode,2019-12-15
2.2.0,PL,Pleasure,2019-12-15
2.2.0,VET,veteran,2019-12-15
2.2.0,BF,Beef,2019-12-15
2.2.0,MGRPRN,maternal grandparent,2019-12-15
2.2.0,PEDICU,Pediatric intensive care unit,2019-12-15
2.2.0,_HealthcareProviderRoleType,HealthcareProviderRoleType,2019-12-15
2.2.0,GDSF,generic drug strength form,2019-12-15
2.2.0,B,Blind,2019-12-15
2.2.0,DAUFOST,foster daughter,2019-12-15
2.2.0,DEPEN,dependent,2019-12-15
2.2.0,laboratory,Laboratory,2019-12-15
2.2.0,PGRMTH,paternal grandmother,2019-12-15
2.2.0,INTPRTER,interpreter,2019-12-15
2.2.0,NSIB,natural sibling,2019-12-15
2.2.0,PEDCARD,Pediatric cardiology clinic,2019-12-15
2.2.0,NBRO,natural brother,2019-12-15
2.2.0,NMTHF,natural mother of fetus,2019-12-15
2.2.0,FTWINSIS,fraternal twin sister,2019-12-15
2.2.0,COCBEN,continuity of coverage beneficiary,2019-12-15
2.2.0,_AssignedRoleType,AssignedRoleType,2019-12-15
2.2.0,GI,Gastroenterology clinic,2019-12-15
2.2.0,COCBEN,continuity of coverage beneficiary,2019-12-15
2.2.0,MHSP,Military Hospital,2019-12-15
2.2.0,PAUNT,paternal aunt,2019-12-15
2.2.0,_ProductProcessingOrganizationRoleType,ProductProcessingOrganizationRoleType,2019-12-15
2.2.0,O,Operator Proficiency,2019-12-15
2.2.0,GRANTEE,grantee,2019-12-15
2.2.0,_DependentCoveredPartyRoleType,DependentCoveredPartyRoleType,2019-12-15
2.2.0,_AdministrativeContactRoleType,AdministrativeContactRoleType,2019-12-15
2.2.0,PRNINLAW,parent in-law,2019-12-15
2.2.0,_ServiceDeliveryLocationRoleType,ServiceDeliveryLocationRoleType,2019-12-15
2.2.0,_EmployeeRoleType,EmployeeRoleType,2019-12-15
2.2.0,PSTUD,part-time student,2019-12-15
2.2.0,P,Patient,2019-12-15
2.2.0,RH,Rehabilitation hospital,2019-12-15
2.2.0,MGRMTH,maternal grandmother,2019-12-15
2.2.0,SIS,sister,2019-12-15
2.2.0,ENDO,Endocrinology clinic,2019-12-15
2.2.0,SONFOST,foster son,2019-12-15
2.2.0,BROINLAW,brother-in-law,2019-12-15
2.2.0,BREAST,Breast clinic,2019-12-15
2.2.0,VALIDATOR,validator,2019-12-15
2.2.0,ECON,emergency contact,2019-12-15
2.2.0,DAUFOST,foster daughter,2019-12-15
2.2.0,_AdministrativeLocationRoleType,AdministrativeLocationRoleType,2019-12-15
2.2.0,SCHOOL,school,2019-12-15
2.2.0,PC,Primary care clinic,2019-12-15
2.2.0,PEDID,Pediatric infectious disease clinic,2019-12-15
2.2.0,BRO,brother,2019-12-15
2.2.0,_PolicyOrProgramCoverageRoleType,PolicyOrProgramCoverageRoleType,2019-12-15
2.2.0,SPS,spouse,2019-12-15
2.2.0,GPARNT,grandparent,2019-12-15
2.2.0,CHILD,child,2019-12-15
2.2.0,CNRP,non-country member without residence permit,2019-12-15
2.2.0,MIL,military,2019-12-15
2.2.0,SIB,sibling,2019-12-15
2.2.0,PGRFTH,paternal grandfather,2019-12-15
2.2.0,SONC,son,2019-12-15
2.2.0,communityLaboratory,Community Laboratory,2019-12-15
2.2.0,INJWKR,injured worker,2019-12-15
2.2.0,HLAB,hospital laboratory,2019-12-15
2.2.0,CHR,Chronic Care Facility,2019-12-15
2.2.0,OPH,Opthalmology clinic,2019-12-15
2.2.0,NEPHEW,nephew,2019-12-15
2.2.0,BMTU,Bone marrow transplant unit,2019-12-15
2.2.0,PSY,Psychiatry clinic,2019-12-15
2.2.0,ONCL,Medical oncology clinic,2019-12-15
2.2.0,DAUC,daughter,2019-12-15
2.2.0,RHII,intellectual impairment center,2019-12-15
2.2.0,PGRFTH,paternal grandfather,2019-12-15
2.2.0,CRPM,non-country member minor with residence permit,2019-12-15
2.2.0,URO,Urology clinic,2019-12-15
2.2.0,LOCHFID,local location identifier,2019-12-15
2.2.0,PGRPRN,paternal grandparent,2019-12-15
2.2.0,MGGRFTH,maternal great-grandfather,2019-12-15
2.2.0,HU,Hospital unit,2019-12-15
2.2.0,NMTH,natural mother,2019-12-15
2.2.0,PSYCHF,Psychatric Care Facility,2019-12-15
2.2.0,DIFFABL,differently abled,2019-12-15
2.2.0,ADOPTP,adoptive parent,2019-12-15
2.2.0,R,Replicate,2019-12-15
2.2.0,PHU,Psychiatric hospital unit,2019-12-15
2.2.0,RNEU,Neuroradiology unit,2019-12-15
2.2.0,RHYAD,youths with adjustment difficulties center,2019-12-15
2.2.0,_IncidentalServiceDeliveryLocationRoleType,IncidentalServiceDeliveryLocationRoleType,2019-12-15
2.2.0,DRIVCLASSIFIER,derivative classifier,2019-12-15
2.2.0,DAUADOPT,adopted daughter,2019-12-15
2.2.0,VL,Veal,2019-12-15
2.2.0,_CoverageRoleType,CoverageRoleType,2019-12-15
2.2.0,CRP,non-country member with residence permit,2019-12-15
2.2.0,GRPRN,grandparent,2019-12-15
2.2.0,SEE,Seeing,2019-12-15
2.2.0,DPOWATT,durable power of attorney,2019-12-15
2.2.0,GGRPRN,great grandparent,2019-12-15
2.2.0,NFTH,natural father,2019-12-15
2.2.0,_DedicatedClinicalLocationRoleType,DedicatedClinicalLocationRoleType,2019-12-15
2.2.0,MGGRMTH,maternal great-grandmother,2019-12-15
2.2.0,ITWINBRO,identical twin brother,2019-12-15
2.2.0,SNIFF,Sniffing,2019-12-15
2.2.0,MTHINLAW,mother-in-law,2019-12-15
2.2.0,FAMMEMB,family member,2019-12-15
2.2.0,STPSON,stepson,2019-12-15
2.2.0,TRB,Tribal Member,2019-12-15
2.2.0,TPA,Third party administrator,2019-12-15
2.2.0,_DedicatedNonClinicalLocationRoleType,DedicatedNonClinicalLocationRoleType,2019-12-15
2.2.0,WORK,work site,2019-12-15
2.2.0,MTHINLOAW,mother-in-law,2019-12-15
