version,code,description,release_date
"",372.30,"CONGIUNTIVITE, NON SPECIFICATA",2022-04-01
"",789.0,DOLORE ADDOMINALE DI SEDE NON SPECIFICATA,2022-04-01
"",709.8,Eruzione vescicolare,2022-04-01
"",796.3,IPOTENSIONE ORTOSTATICA,2022-04-01
"",995.68,SHOCK ANAFILATTICO DA UOVA,2022-04-01
"",477.8,RINITE ALLERGICA DA ALTRI ALLERGENI,2022-04-01
"",784.99,Altri sintomi relativi alla testa e al collo (incl. Starnutire),2022-04-01
"",782.61,PALLORE,2022-04-01
"",V40.9,PROBLEMA PSICHICO O DI COMPORTAMENTO NON SPECIFICATO,2022-04-01
"",478.6,Edema della laringe,2022-04-01
"",493.9,"ASMA,TIPO NON SPECIFICATO",2022-04-01
"",477.1,RINITE ALLERGICA DA CIBO,2022-04-01
"",477.2,RINITE ALLERGICA DA PELI OFORFORA ANIMALE (GATTO)(CANE),2022-04-01
"",691.8,ALTREDERMATITI ATOPICHE E AFFEZIONI CORRELATE,2022-04-01
"",692,Dermatite da contatto,2022-04-01
"",995.69,SHOCK ANAFILATTICO DA ALTRO ALIMENTO SPECIFICATO,2022-04-01
"",782.1,Rash ed altre eruzioni cutanee non specifiche,2022-04-01
"",519.11,BRONCOSPASMO ACUTO,2022-04-01
"",V40.3,ALTRI PROBLEMI DI COMPORTAMENTO,2022-04-01
"",995.60,SHOCK ANAFILATTICO DA ALIMENTO NON SPECIFICATO,2022-04-01
"",372.71,Iperemia della congiuntiva,2022-04-01
"",287.0,Vasculite allergica,2022-04-01
"",427.2,TACHICARDIA PAROSSISTICA NON SPECIFICATA,2022-04-01
"",695.1,Eritema multiforme o polimorfo (incl. Sindrome di Stevens-Johnson),2022-04-01
"",698.9,AFFEZIONI NON PRURIGINOSE SPECIFICATE,2022-04-01
"",787.03,VOMITO SOLO,2022-04-01
"",995.66,SHOCK ANAFILATTICO DA ADDITIVI ALIMENTARI,2022-04-01
"",077.0,CONGIUNTIVITEDA INCLUSI,2022-04-01
"",995.1,EDEMA ANGIONEUROTICO NON CLASSIFICATO ALTROVE,2022-04-01
"",995.0,ALTRO SHOCK ANAFILATTICO NON CLASSIFICATO ALTROVE,2022-04-01
"",995.61,SHOCK ANAFILATTICO DA ARACHIDI,2022-04-01
"",750.26,ALTRE ANOMALIE SPECIFICATE DELLA BOCCA,2022-04-01
"",780.3,Attacchi (termine comune); Convulsioni,2022-04-01
"",995.64,SHOCK ANAFILATTICO DA NOCI (O NOCCIOLE) E DA SEMI,2022-04-01
"",427.5,Arresto cardiorespiratorio,2022-04-01
"",786.59,Altro dolore toracico Senso di oppressione al torace. Tensione del torace.,2022-04-01
"",698.8,ALTRE AFFEZIONI PRURIGINOSE SPECIFICATE,2022-04-01
"",692.9,Eczema,2022-04-01
"",787.02,NAUSEA SOLO,2022-04-01
"",478.19,ALTRE MALATTIE DELLE CAVIT?? NASALI E DEI SENI PARANASALI,2022-04-01
"",787.91,Diarrea,2022-04-01
"",372.0,"CONGIUNTIVITE ACUTA, NON SPECIFICATA",2022-04-01
"",995.62,SHOCK ANAFILATTICO DA CROSTACEI,2022-04-01
"",786.0,Dispnea e anomalie respiratorie,2022-04-01
"",375.15,"Insufficienza del film lacrimale, non specificata",2022-04-01
"",780.79,ALTRO MALESSERE ED AFFATICAMENTO,2022-04-01
"",708.0,ORTICARIA ALLERGICA,2022-04-01
"",995.63,SHOCK ANAFILATTICO DA FRUTTI E VEGETALI,2022-04-01
"",995.65,SHOCK ANAFILATTICO DA PESCE,2022-04-01
"",787.01,NAUSEA CON VOMITO,2022-04-01
"",477.0,RINITE ALLERGICA DA POLLINI,2022-04-01
"",691,Dermatite atopica ed affezioni correlate,2022-04-01
"",995.67,SHOCK ANAFILATTICO DA DERIVATI DEL LATTE,2022-04-01
"",054.0,ECZEMA ERPETICO,2022-04-01
