version,code,description,release_date
"",20,Meningococco Gruppo C Coniugato,
"",41,Influenza Vivo Attenuato,
"",42,"Influenza Quadrivalente Inattivato su Colture Cellulari ",
"",14,Influenza Trivalente Inattivato Adiuvato,
"",39,Tubercolosi,
"",45,Influenza Tetravalente Inattivato Adiuvato,
"",19,Meningococco Gruppo B,
"",26,"Papillomavirus Umano (Tipi 6, 11; 16; 18; 31; 33; 45; 52; 58)",
"",31,Pneumococco Polisaccarido Coniugato,
"",43,Influenza Quadrivalente ad Alto Dosaggio,
"",50,RSV RICOMBINANTE BIVALENTE,
"",13,Influenza Trivalente Inattivato,
"",16,Influenza Tetravalente Inattivato,
"",21,Meningococco Gruppo C Polisaccarido,
"",35,Rosolia,
"",46,INFLUENZA QUADRIVALENTE a DNA RICOMBINANTE,
"",47,VAIOLO e VAIOLO DELLE SCIMMIE,
"",02,Difterite,
"",07,Febbre gialla,
"",12,Herpes Zoster Attenuato,
"",18,"Meningococco Gruppi ACW135Y Polisaccarido ",
"",38,Tifo,
"",08,Influenza,
"",10,Haemophilus Influenzae B Coniugato,
"",30,Pneumococco Polisaccarido,
"",32,Poliomielite OPV,
"",23,Morbillo,
"",25,"Papillomavirus Umano (Tipi 16, 18)",
"",37,Tetano,
"",17,Meningococco Gruppi ACW135Y Coniugati,
"",49,RSV RICOMBINANTE ADIUVATO,
"",22,Meningococco Gruppo A,
"",34,Rabbia,
"",05,Epatite A,
"",48,DENGUE,
"",03,Encefalite da zecca,
"",15,Influenza Trivalente Virus Frammentato,
"",27,"Papillomavirus Umano (Tipi 6, 11; 16; 18)",
"",29,Pertosse,
"",44,Covid 19,
"",01,Colera,
"",06,Epatite B,
"",09,Herpes Zoster,
"",11,"Herpes Zoster Ricombinante ",
"",28,Parotite,
"",33,Poliomielite IPV,
"",36,Rotarovirus,
"",40,Varicella,
"",04,Encefalite giapponese,
