version,code,description,release_date
"",01,Coma,2018-03-19
"",02,Sindrome neurologica acuta,2018-03-19
"",03,Altri sintomi sistema nervoso,2018-03-19
"",04,Dolore addominale,2018-03-19
"",05,Dolore toracico,2018-03-19
"",06,Dispnea,2018-03-19
"",07,Dolore precordiale,2018-03-19
"",08,Shock,2018-03-19
"",09,Emorragia non traumatica,2018-03-19
"",10,Trauma,2018-03-19
"",11,Intossicazione,2018-03-19
"",12,Febbre,2018-03-19
"",13,Reazione allergica,2018-03-19
"",14,Alterazioni del ritmo,2018-03-19
"",15,Ipertensione arteriosa,2018-03-19
"",16,Stato di agitazione psicomotoria,2018-03-19
"",17,Sintomi o disturbi oculistici,2018-03-19
"",18,Sintomi o disturbi otorinolaringoiatrici,2018-03-19
"",19,Sintomi o disturbi ostetrico-ginecologici,2018-03-19
"",20,Sintomi o disturbi dermatologici,2018-03-19
"",21,Sintomi o disturbi odontostomatologici,2018-03-19
"",22,Sintomi o disturbi urologici,2018-03-19
"",23,Altri sintomi o disturbi,2018-03-19
"",24,Accertamenti medico legali,2018-03-19
"",25,Problema sociale,2018-03-19
"",26,Caduta da altezza inferiore o uguale alla statura del soggetto,2018-03-19
"",27,Ustione,2018-03-19
"",28,Psichiatrico,2018-03-19
"",29,Pneumologia/ Patologia Respiratoria,2018-03-19
"",30,Violenza Altrui,2018-03-19
"",31,Autolesionismo,2018-03-19
