version,code,description,release_date
"",128488006,Polvere di casa,2019-06-20
"",256307007,Banana,2019-06-20
"",226915003,carne rossa,2019-06-20
"",412068007,Segale,2019-06-20
"",412145001,Tinta per capelli,2019-06-20
"",276310004,Peli di animali,2019-06-20
"",227374009,Erbe e spezie,2019-06-20
"",227161006,Polpo - alimento,2019-06-20
"",260170007,Patata - alimento,2019-06-20
"",410853002,Perfluorochemical,2019-06-20
"",83619009,Alcool polivinilico,2019-06-20
"",280939008,Veleno di insetti,2019-06-20
"",256309005,Pesca - alimento,2019-06-20
"",91598004,Perossido di benzoile,2019-06-20
"",396031000,Dimeticone,2019-06-20
"",227163009,Calamaro - alimento,2019-06-20
"",311984009,Agente chimico o esterno,2019-06-20
"",57126000,Colla,2019-06-20
"",419604006,Polline di erba,2019-06-20
"",303314008,Scorpione veleno,2019-06-20
"",256355007,Semi di soia,2019-06-20
"",412357001,Mais,2019-06-20
"",256352005,Noce - noce,2019-06-20
"",59533004,Additivo alimentare,2019-06-20
"",260152009,Peli di gatto,2019-06-20
"",28647000,Carne,2019-06-20
"",102263004,Uova (commestibili),2019-06-20
"",311846002,Insetticida piretroide,2019-06-20
"",226359003,Olio di pesce - alimento,2019-06-20
"",111088007,lattice,2019-06-20
"",386936005,Acido azelaico,2019-06-20
"",256504004,Materiale dentale in policarbonato,2019-06-20
"",412161004,Lana,2019-06-20
"",12503006,Alluminio,2019-06-20
"",13652007,Silicone,2019-06-20
"",288328004,Veleno d'api,2019-06-20
"",227388008,Cannella,2019-06-20
"",256292005,Polline di fiori e infestanti,2019-06-20
"",227313005,Verdure impulsive,2019-06-20
"",3829006,Ferro,2019-06-20
"",412071004,Grano,2019-06-20
"",227252000,Fungo - alimento,2019-06-20
"",256435007,piume,2019-06-20
"",230034002,Noci e semi,2019-06-20
"",256440004,Veleno di Vespa,2019-06-20
"",412153009,Pappagallo coniglio,2019-06-20
"",115589000,Ethanolamine,2019-06-20
"",406466009,Allergia alla polvere domestica,2019-06-20
"",255640000,biocida,2019-06-20
"",256260009,Polline di alberi e arbusti,2019-06-20
"",418504009,Avena,2019-06-20
"",102259006,Agrumi,2019-06-20
"",2309006,Oro,2019-06-20
"",387293003,Dithranol,2019-06-20
"",256326004,Sedano,2019-06-20
"",420111002,Contattare l'agente metallico,2019-06-20
"",52454007,Albumina,2019-06-20
"",256303006,Polline di ambrosia,2019-06-20
"",406472009,Proteina animale ed allergene epidermico,2019-06-20
"",256443002,Albume,2019-06-20
"",418266005,Paraffina gialla,2019-06-20
"",11526002,aspartame,2019-06-20
"",119417004,Insetticida organofosfato,2019-06-20
"",226934003,Maiale,2019-06-20
"",227144008,Tonno,2019-06-20
"",260167008,seme di sesamo,2019-06-20
"",260176001,kiwi,2019-06-20
"",226491003,succo di mela,2019-06-20
"",128489003,Sabbia,2019-06-20
"",37017009,Helminth,2019-06-20
"",89889006,Fibra di cotone,2019-06-20
"",430503006,Glutammato,2019-06-20
"",412061001,mirtilli,2019-06-20
"",43230003,Gomma da cancellare,2019-06-20
"",28230009,Pollame,2019-06-20
"",80237000,Burro di cacao,2019-06-20
"",256319004,Carota,2019-06-20
"",227425007,fichi,2019-06-20
"",406470001,Allergene degli insetti,2019-06-20
"",102264005,Formaggio,2019-06-20
"",230032003,Ostrica - alimento,2019-06-20
"",256311001,Apple - alimento,2019-06-20
"",102261002,fragola,2019-06-20
"",303300008,Proteine ??????dell'uovo,2019-06-20
"",9021002,carbaryl,2019-06-20
"",227146005,Crostacei - alimento,2019-06-20
"",89811004,Glutine,2019-06-20
