version,code,description,release_date
2.1.0,AMNINJ,"Injection, amniotic fluid",2019-03-20
2.1.0,AMNINJ,"Injection, amniotic fluid",2019-03-20
2.1.0,AMNINJ,"Injection, amniotic fluid",2019-03-20
2.1.0,BILINJ,"Injection, biliary tract",2019-03-20
2.1.0,BILINJ,"Injection, biliary tract",2019-03-20
2.1.0,BILINJ,"Injection, biliary tract",2019-03-20
2.1.0,BLADINJ,"Injection, urinary bladder",2019-03-20
2.1.0,BLADINJ,"Injection, urinary bladder",2019-03-20
2.1.0,BLADINSTL,"Instillation, urinary catheter",2019-03-20
2.1.0,BLADINSTL,"Instillation, urinary catheter",2019-03-20
2.1.0,BLADIRR,"Irrigation, urinary bladder",2019-03-20
2.1.0,BLADIRR,"Irrigation, urinary bladder",2019-03-20
2.1.0,BLADIRRC,"Irrigation, urinary bladder; continuous",2019-03-20
2.1.0,BLADIRRT,"Irrigation, urinary bladder; tidal",2019-03-20
2.1.0,BUC,"Topical application, buccal",2019-03-20
2.1.0,BUC,"Topical application, buccal",2019-03-20
2.1.0,CAPDINSTL,"Instillation, continuous ambulatory peritoneal dialysis port",2019-03-20
2.1.0,CAPDINSTL,"Instillation, continuous ambulatory peritoneal dialysis port",2019-03-20
2.1.0,CECINSTL,"Instillation, cecostomy",2019-03-20
2.1.0,CECINSTL,"Instillation, cecostomy",2019-03-20
2.1.0,CERV,"Topical application, cervical",2019-03-20
2.1.0,CERV,"Topical application, cervical",2019-03-20
2.1.0,CERVINJ,"Injection, cervical",2019-03-20
2.1.0,CERVINJ,"Injection, cervical",2019-03-20
2.1.0,CERVINS,"Insertion, cervical (uterine)",2019-03-20
2.1.0,CERVINS,"Insertion, cervical (uterine)",2019-03-20
2.1.0,CHEW,"Chew, oral",2019-03-20
2.1.0,CHEW,"Chew, oral",2019-03-20
2.1.0,CHOLINJ,"Injection, for cholangiography",2019-03-20
2.1.0,CHOLINJ,"Injection, for cholangiography",2019-03-20
2.1.0,CTINSTL,"Instillation, chest tube",2019-03-20
2.1.0,CTINSTL,"Instillation, chest tube",2019-03-20
2.1.0,DEN,"Topical application, dental",2019-03-20
2.1.0,DEN,"Topical application, dental",2019-03-20
2.1.0,DENRINSE,"Rinse, dental",2019-03-20
2.1.0,DENRINSE,"Rinse, dental",2019-03-20
2.1.0,DISSOLVE,"Dissolve, oral",2019-03-20
2.1.0,DISSOLVE,"Dissolve, oral",2019-03-20
2.1.0,DOUCHE,"Douche, vaginal",2019-03-20
2.1.0,DOUCHE,"Douche, vaginal",2019-03-20
2.1.0,DRESS,"Topical application, soaked dressing",2019-03-20
2.1.0,DRESS,"Topical application, soaked dressing",2019-03-20
2.1.0,EFT,"Instillation, enteral feeding tube",2019-03-20
2.1.0,EFT,"Instillation, enteral feeding tube",2019-03-20
2.1.0,ELECTOSMOS,Electro-osmosis,2019-03-20
2.1.0,ELECTOSMOS,Electro-osmosis,2019-03-20
2.1.0,ENDOSININJ,"Injection, endosinusial",2019-03-20
2.1.0,ENDOSININJ,"Injection, endosinusial",2019-03-20
2.1.0,ENEMA,"Enema, rectal",2019-03-20
2.1.0,ENEMA,"Enema, rectal",2019-03-20
2.1.0,ENTINSTL,"Instillation, enteral",2019-03-20
2.1.0,ENTINSTL,"Instillation, enteral",2019-03-20
2.1.0,EPI,"Infusion, epidural",2019-03-20
2.1.0,EPI,"Infusion, epidural",2019-03-20
2.1.0,EPIDURINJ,"Injection, epidural",2019-03-20
2.1.0,EPIDURINJ,"Injection, epidural",2019-03-20
2.1.0,EPIINJ,"Injection, epidural; push",2019-03-20
2.1.0,EPIINJ,"Injection, epidural; push",2019-03-20
2.1.0,EPINJSP,"Injection, epidural; slow push",2019-03-20
2.1.0,EPINJSP,"Injection, epidural; slow push",2019-03-20
2.1.0,ETINSTL,"Instillation, endotracheal tube",2019-03-20
2.1.0,ETINSTL,"Instillation, endotracheal tube",2019-03-20
2.1.0,ETNEB,"Nebulization, endotracheal tube",2019-03-20
2.1.0,ETNEB,"Nebulization, endotracheal tube",2019-03-20
2.1.0,EXTCORPDIF,"Diffusion, extracorporeal",2019-03-20
2.1.0,EXTCORPDIF,"Diffusion, extracorporeal",2019-03-20
2.1.0,EXTCORPINJ,"Injection, extracorporeal",2019-03-20
2.1.0,EXTCORPINJ,"Injection, extracorporeal",2019-03-20
2.1.0,EXTCORPINJ,"Injection, extracorporeal",2019-03-20
2.1.0,EXTRAMNINJ,"Injection, extra-amniotic",2019-03-20
2.1.0,EXTRAMNINJ,"Injection, extra-amniotic",2019-03-20
2.1.0,GARGLE,Gargle,2019-03-20
2.1.0,GARGLE,Gargle,2019-03-20
2.1.0,GBINJ,"Injection, gastric button",2019-03-20
2.1.0,GBINJ,"Injection, gastric button",2019-03-20
2.1.0,GIN,"Topical application, gingival",2019-03-20
2.1.0,GIN,"Topical application, gingival",2019-03-20
2.1.0,GINGINJ,"Injection, gingival",2019-03-20
2.1.0,GINGINJ,"Injection, gingival",2019-03-20
2.1.0,GJT,"Instillation, gastro-jejunostomy tube",2019-03-20
2.1.0,GJT,"Instillation, gastro-jejunostomy tube",2019-03-20
2.1.0,GT,"Instillation, gastrostomy tube",2019-03-20
2.1.0,GT,"Instillation, gastrostomy tube",2019-03-20
2.1.0,GUIRR,"Irrigation, genitourinary",2019-03-20
2.1.0,GUIRR,"Irrigation, genitourinary",2019-03-20
2.1.0,HAIR,"Topical application, hair",2019-03-20
